,preflop_action,board_flop,board_turn,board_river,aggressor_position,postflop_action,evaluation_at,available_moves,pot_size,hero_position,holding,correct_decision
1180,UTG/2.0bb/BTN/call,5c5dAh,3h,Kh,OOP,OOP_CHECK/IP_CHECK/dealcards/3h/OOP_CHECK/IP_BET_4/OOP_RAISE_13/IP_CALL/dealcards/Kh/OOP_CHECK/IP_BET_23,River,"['Fold', 'Call', 'Raise 85']",54,OOP,KsQs,Call
1181,UTG/2.0bb/SB/10.0bb/UTG/call,JsKs5d,8h,3c,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/8h/OOP_CHECK/IP_BET_32,Turn,"['Fold', 'Call', 'Raise 86']",61,OOP,KhJh,Raise 86
1182,HJ/2.0bb/BTN/call,TsKcAh,2d,9d,OOP,OOP_CHECK/IP_CHECK/dealcards/2d/OOP_BET_6/IP_RAISE_17/OOP_CALL/dealcards/9d/OOP_CHECK/IP_BET_29,River,"['Fold', 'Call', 'Raise 81']",68,OOP,JsJh,Fold
1183,SB/3.0bb/BB/call,4s4h3h,Jh,Js,OOP,OOP_BET_2/IP_RAISE_9,Flop,"['Fold', 'Call', 'Raise 25']",17,OOP,9h8h,Call
1184,CO/2.3bb/BB/call,8h8cTc,As,4d,OOP,OOP_CHECK/IP_BET_2,Flop,"['Fold', 'Call', 'Raise 7']",7,OOP,KsTd,Call
1185,HJ/2.0bb/BTN/call,Ad8d3d,9d,Ah,OOP,OOP_BET_2/IP_RAISE_8/OOP_CALL/dealcards/9d/OOP_BET_26/IP_RAISE_90,Turn,"['Fold', 'Call']",137,OOP,AcTd,Fold
1186,UTG/2.0bb/BB/call,TsKcAh,2d,9d,OOP,OOP_CHECK/IP_CHECK/dealcards/2d/OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/9d/OOP_BET_7,River,"['Fold', 'Call', 'Raise 25']",21,IP,AdQd,Call
1187,BTN/2.5bb/BB/call,Jh4h5s,Kh,6h,OOP,OOP_BET_4/IP_RAISE_13/OOP_CALL/dealcards/Kh/OOP_CHECK,Turn,"['Check', 'Bet 23', 'Bet 39']",31,IP,4s4d,Check
1188,CO/2.3bb/BTN/call,Js8d3c,Kd,8h,OOP,OOP_CHECK/IP_CHECK/dealcards/Kd/OOP_CHECK,Turn,"['Check', 'Bet 5', 'Bet 8']",6,IP,JcTc,Check
1189,BTN/2.5bb/BB/call,Ad9h8h,2h,Th,OOP,OOP_CHECK/IP_CHECK/dealcards/2h/OOP_CHECK/IP_CHECK/dealcards/Th/OOP_CHECK,River,"['Check', 'Bet 4']",5,IP,KsTd,Check
1190,CO/2.3bb/BB/call,9s7s4c,6s,3c,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/6s/OOP_CHECK/IP_CHECK/dealcards/3c/OOP_BET_7,River,"['Fold', 'Call', 'Raise 25']",20,IP,Ad9c,Call
1191,SB/3.0bb/BB/call,QcAdKh,3d,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/3d/OOP_CHECK/IP_BET_5/OOP_RAISE_16/IP_CALL/dealcards/8c/OOP_CHECK,River,"['Check', 'Bet 29']",38,IP,7d7c,Bet 29
1192,SB/3.0bb/BB/10.0bb/SB/call,4s4h3h,9s,Js,IP,OOP_CHECK/IP_CHECK/dealcards/9s/OOP_CHECK,Turn,"['Check', 'Bet 12', 'Bet 22']",20,IP,QdQc,Bet 12
1193,HJ/2.0bb/BTN/call,5c2d3h,Td,4c,OOP,OOP_CHECK/IP_BET_2/OOP_RAISE_8/IP_CALL/dealcards/Td/OOP_BET_16/IP_RAISE_51,Turn,"['Fold', 'Call', 'Raise 90']",88,OOP,AsAd,Raise 90
1194,UTG/2.0bb/BTN/call,5c5dAh,5s,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/5s/OOP_CHECK/IP_BET_4,Turn,"['Fold', 'Call', 'Raise 13']",9,OOP,Ac7c,Call
1195,SB/3.0bb/BB/10.0bb/SB/call,AcKs7d,2h,7c,IP,OOP_CHECK/IP_CHECK/dealcards/2h/OOP_CHECK/IP_BET_12/OOP_RAISE_27,Turn,"['Fold', 'Call', 'Raise 51', 'Raise 90']",59,IP,As6h,Call
1196,CO/2.3bb/BTN/7.5bb/CO/call,9dTs8s,5d,2d,IP,OOP_CHECK/IP_BET_3/OOP_RAISE_10/IP_CALL/dealcards/5d/OOP_CHECK,Turn,"['Check', 'Bet 22', 'Bet 40']",36,IP,KsQc,Check
1197,BTN/2.5bb/BB/call,5c2d3h,Td,Qc,OOP,OOP_CHECK/IP_BET_2/OOP_RAISE_8/IP_CALL/dealcards/Td/OOP_CHECK,Turn,"['Check', 'Bet 16', 'Bet 26']",21,IP,QhTs,Check
1198,HJ/2.0bb/BTN/call,Jh4h5s,2d,Ac,OOP,OOP_CHECK/IP_CHECK/dealcards/2d/OOP_BET_4/IP_CALL/dealcards/Ac/OOP_CHECK,River,"['Check', 'Bet 10']",13,IP,AsTs,Bet 10
1199,BTN/2.5bb/BB/call,7d6c4h,5h,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/5h/OOP_BET_6/IP_CALL/dealcards/3c/OOP_BET_9,River,"['Fold', 'Call', 'Raise 32']",26,IP,AdTc,Call
1200,BTN/2.5bb/BB/call,5c5dAh,5s,Td,OOP,OOP_CHECK/IP_CHECK/dealcards/5s/OOP_BET_6/IP_CALL/dealcards/Td/OOP_CHECK,River,"['Check', 'Bet 13']",17,IP,Tc8c,Check
1201,UTG/2.0bb/HJ/6.5bb/UTG/call,Jh4h5s,Kh,8d,IP,OOP_BET_7/IP_RAISE_16/OOP_CALL/dealcards/Kh/OOP_BET_51,Turn,"['Fold', 'Call', 'Raise 77']",97,IP,AhQd,Raise 77
1202,BTN/2.5bb/BB/call,QcAdKh,Ts,Tc,OOP,OOP_CHECK/IP_CHECK/dealcards/Ts/OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Tc/OOP_CHECK,River,"['Check', 'Bet 10']",13,IP,Ac6c,Check
1203,CO/2.3bb/BTN/call,8h8cTc,Kc,2c,OOP,OOP_CHECK/IP_CHECK/dealcards/Kc/OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/2c/OOP_CHECK/IP_BET_12,River,"['Fold', 'Call', 'Raise 38']",28,OOP,TsTh,Raise 38
1204,CO/2.3bb/BB/call,Js8d3c,Kd,8h,OOP,OOP_CHECK/IP_BET_2/OOP_RAISE_8/IP_CALL/dealcards/Kd/OOP_CHECK/IP_BET_26,Turn,"['Fold', 'Call', 'Raise 89']",47,OOP,Ks5s,Call
1205,BTN/2.5bb/BB/call,JcJh4s,4d,3c,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/4d/OOP_CHECK/IP_BET_7/OOP_RAISE_22/IP_CALL/dealcards/3c/OOP_CHECK,River,"['Check', 'Bet 40', 'Raise 73']",51,IP,AcJs,Bet 40
1206,UTG/2.0bb/BTN/call,TsKcAh,2d,9d,OOP,OOP_CHECK/IP_CHECK/dealcards/2d/OOP_CHECK/IP_BET_6/OOP_RAISE_17/IP_CALL/dealcards/9d/OOP_CHECK,River,"['Check', 'Bet 29']",39,IP,7d7c,Bet 29
1207,CO/2.3bb/BTN/call,5c5dAh,5s,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/5s/OOP_CHECK/IP_BET_8/OOP_RAISE_23/IP_CALL/dealcards/8c/OOP_BET_26/IP_RAISE_74,River,"['Fold', 'Call']",152,OOP,Ac8h,Call
1208,SB/3.0bb/BB/call,Ad8d3d,9d,Ah,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/9d/OOP_CHECK/IP_BET_8/OOP_RAISE_25/IP_CALL/dealcards/Ah/OOP_CHECK,River,"['Check', 'Bet 45', 'Raise 70']",58,IP,Jc8c,Check
1209,SB/3.0bb/BB/call,5c2d3h,Td,Qc,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/Td/OOP_CHECK/IP_BET_8/OOP_RAISE_25/IP_CALL/dealcards/Qc/OOP_CHECK,River,"['Check', 'Bet 45', 'Raise 70']",58,IP,Qd9c,Check
1210,CO/2.3bb/BB/call,JsKs5d,8h,5c,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/8h/OOP_CHECK/IP_BET_10/OOP_CALL/dealcards/5c/OOP_CHECK,River,"['Check', 'Bet 25']",29,IP,QsQc,Check
1211,BTN/2.5bb/BB/call,5c5dAh,5s,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/5s/OOP_CHECK/IP_CHECK/dealcards/8c/OOP_CHECK/IP_BET_4/OOP_RAISE_13,River,"['Fold', 'Call', 'Raise 33']",22,IP,AcKc,Call
1212,UTG/2.0bb/BB/call,Ks7h2d,6h,Th,OOP,OOP_CHECK/IP_CHECK/dealcards/6h/OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/Th/OOP_CHECK,River,"['Check', 'Bet 11']",14,IP,KhJs,Check
1213,SB/3.0bb/BB/call,Th3s2d,Ac,3h,OOP,OOP_CHECK/IP_CHECK/dealcards/Ac/OOP_CHECK/IP_CHECK/dealcards/3h/OOP_CHECK/IP_BET_5/OOP_RAISE_16,River,"['Fold', 'Call', 'Raise 41']",27,IP,Td9h,Fold
1214,CO/2.3bb/BB/call,Td6h4h,8d,2c,OOP,OOP_CHECK/IP_CHECK/dealcards/8d/OOP_CHECK/IP_CHECK/dealcards/2c/OOP_CHECK,River,"['Check', 'Bet 4']",5,IP,9h8h,Bet 4
1215,SB/3.0bb/BB/call,Th4c5d,7s,3d,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/7s/OOP_CHECK/IP_CHECK/dealcards/3d/OOP_CHECK/IP_BET_12,River,"['Fold', 'Call', 'Raise 38']",28,OOP,As5h,Call
1216,UTG/2.0bb/BTN/call,9s7s4c,Ah,Ts,OOP,OOP_CHECK/IP_CHECK/dealcards/Ah/OOP_CHECK/IP_BET_6/OOP_RAISE_17/IP_CALL/dealcards/Ts/OOP_CHECK/IP_BET_29,River,"['Fold', 'Call', 'Raise 81']",68,OOP,As4s,Raise 81
1217,SB/3.0bb/BB/call,JcJh4s,Ts,Qc,OOP,OOP_CHECK/IP_CHECK/dealcards/Ts/OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/Qc/OOP_BET_8/IP_RAISE_29,River,"['Fold', 'Call', 'Raise 92']",53,OOP,AcJs,Call
1218,CO/2.3bb/BTN/call,Ks7h2d,6h,4h,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/6h/OOP_CHECK/IP_BET_13/OOP_RAISE_37,Turn,"['Fold', 'Call', 'Raise 95']",60,IP,AdTd,Fold
1219,UTG/2.0bb/BTN/call,Ks7h2d,6h,Th,OOP,OOP_CHECK/IP_CHECK/dealcards/6h/OOP_BET_6/IP_CALL/dealcards/Th/OOP_CHECK/IP_BET_13,River,"['Fold', 'Call', 'Raise 41']",30,OOP,KhKc,Raise 41
1220,CO/2.3bb/BB/call,AcKs7d,2h,7c,OOP,OOP_CHECK/IP_CHECK/dealcards/2h/OOP_CHECK/IP_BET_4/OOP_RAISE_13/IP_CALL/dealcards/7c/OOP_CHECK,River,"['Check', 'Bet 23']",31,IP,KdQd,Check
1221,BTN/2.5bb/BB/call,Ks7h2d,6h,Th,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/6h/OOP_CHECK/IP_BET_7/OOP_CALL/dealcards/Th/OOP_CHECK,River,"['Check', 'Bet 17']",21,IP,4d4c,Check
1222,SB/3.0bb/BB/call,TsKcAh,Jc,Jh,OOP,OOP_CHECK/IP_CHECK/dealcards/Jc/OOP_CHECK/IP_BET_8/OOP_CALL/dealcards/Jh/OOP_BET_11,River,"['Fold', 'Call', 'Raise 40']",33,IP,Qh8h,Call
1223,HJ/2.0bb/BB/call,8h8cTc,As,4d,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/As/OOP_CHECK/IP_BET_8/OOP_RAISE_23/IP_CALL/dealcards/4d/OOP_CHECK,River,"['Check', 'Bet 39', 'Raise 74']",51,IP,Ad7d,Check
1224,SB/3.0bb/BB/call,6s8d7c,9s,Kc,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/9s/OOP_CHECK/IP_BET_8/OOP_CALL/dealcards/Kc/OOP_CHECK/IP_BET_20/OOP_RAISE_87,River,"['Fold', 'Call']",131,IP,As8h,Fold
1225,BTN/2.5bb/BB/call,7d6c4h,5h,Kh,OOP,OOP_CHECK/IP_CHECK/dealcards/5h/OOP_BET_4/IP_CALL/dealcards/Kh/OOP_BET_7,River,"['Fold', 'Call', 'Raise 25']",20,IP,Ac2c,Fold
1226,UTG/2.0bb/BB/call,TsKcAh,Jc,Jh,OOP,OOP_BET_3/IP_CALL/dealcards/Jc/OOP_CHECK/IP_BET_13,Turn,"['Fold', 'Call', 'Raise 37']",23,OOP,Qs7s,Call
1227,BTN/2.5bb/BB/call,Qc8cAc,3c,Ah,OOP,OOP_CHECK/IP_CHECK/dealcards/3c/OOP_CHECK/IP_BET_6/OOP_RAISE_17/IP_CALL/dealcards/Ah/OOP_CHECK,River,"['Check', 'Bet 29']",39,IP,9h9d,Bet 29
1228,UTG/2.0bb/HJ/6.5bb/UTG/call,Jh4h5s,Kh,6h,IP,OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/Kh/OOP_CHECK,Turn,"['Check', 'Bet 12', 'Bet 22']",20,IP,KsJs,Check
1229,SB/3.0bb/BB/call,JcJh4s,Ts,8c,OOP,OOP_BET_2/IP_CALL/dealcards/Ts/OOP_BET_8,Turn,"['Fold', 'Call', 'Raise 25']",18,IP,JdTd,Call
1230,SB/3.0bb/BB/call,JsKs5d,Jd,4d,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/Jd/OOP_BET_20/IP_RAISE_57,Turn,"['Fold', 'Call', 'Raise 92']",93,OOP,As9c,Fold
1231,SB/3.0bb/BB/call,Th4c5d,Kd,Qh,OOP,OOP_BET_5/IP_RAISE_16/OOP_CALL/dealcards/Kd/OOP_BET_48/IP_RAISE_81,Turn,"['Fold', 'Call']",167,OOP,KhJs,Call
1232,UTG/2.0bb/HJ/6.5bb/UTG/call,Js8d3c,9d,Jd,IP,OOP_CHECK,Flop,"['Check', 'Bet 3', 'Bet 7']",14,IP,AhQc,Check
1233,SB/3.0bb/BB/call,Th3s2d,5d,Ks,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/5d/OOP_CHECK/IP_BET_20/OOP_CALL/dealcards/Ks/OOP_CHECK/IP_BET_42/OOP_RAISE_72,River,"['Fold', 'Call']",165,IP,KcTd,Call
1234,BTN/2.5bb/BB/call,4s4h3h,9s,Kc,OOP,OOP_CHECK/IP_CHECK/dealcards/9s/OOP_BET_4/IP_RAISE_13/OOP_CALL/dealcards/Kc/OOP_CHECK,River,"['Check', 'Bet 23']",31,IP,Ah8s,Bet 23
1235,UTG/2.0bb/BB/call,JsKs5d,8h,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/8h/OOP_CHECK,Turn,"['Check', 'Bet 3', 'Bet 5']",4,IP,AhKh,Bet 3
1236,HJ/2.0bb/BTN/7.5bb/HJ/call,Th3s2d,5d,Ks,IP,OOP_CHECK/IP_BET_3/OOP_RAISE_10/IP_CALL/dealcards/5d/OOP_BET_40,Turn,"['Fold', 'Call', 'Raise 82']",76,IP,AdAc,Raise 82
1237,UTG/2.0bb/CO/6.5bb/UTG/call,Ks7h2d,Jc,7c,IP,OOP_BET_7/IP_CALL/dealcards/Jc/OOP_BET_31,Turn,"['Fold', 'Call', 'Raise 62', 'Raise 86']",59,IP,JsJh,Raise 86
1238,HJ/2.0bb/BB/call,Qc8cAc,Kh,3s,OOP,OOP_BET_1/IP_CALL/dealcards/Kh/OOP_CHECK/IP_BET_8,Turn,"['Fold', 'Call', 'Raise 23']",14,OOP,5c3c,Call
1239,UTG/2.0bb/BTN/call,Th3s2d,5d,Ks,OOP,OOP_CHECK/IP_BET_4/OOP_RAISE_13/IP_CALL/dealcards/5d/OOP_CHECK/IP_BET_23,Turn,"['Fold', 'Call', 'Raise 85']",54,OOP,KsKh,Raise 85
1240,CO/2.3bb/BB/call,7d6c4h,5h,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/5h/OOP_CHECK,Turn,"['Check', 'Bet 4', 'Bet 6']",5,IP,Ad9c,Check
1241,HJ/2.0bb/BB/call,4s4h3h,Jh,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/Jh/OOP_BET_3/IP_RAISE_10/OOP_CALL/dealcards/8c/OOP_BET_12/IP_RAISE_44,River,"['Fold', 'Call', 'Raise 88']",80,OOP,Ad9d,Fold
1242,BTN/2.5bb/BB/call,8h8cTc,Kc,2c,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/Kc/OOP_CHECK/IP_BET_11/OOP_CALL/dealcards/2c/OOP_CHECK,River,"['Check', 'Bet 23']",29,IP,Ad4d,Bet 23
1243,UTG/2.0bb/BB/call,Ks7h2d,Jc,7c,OOP,OOP_CHECK/IP_CHECK/dealcards/Jc/OOP_CHECK,Turn,"['Check', 'Bet 3', 'Bet 5']",4,IP,Th9h,Bet 3
1244,SB/3.0bb/BB/call,Qc8cAc,3c,Qh,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/3c/OOP_CHECK/IP_BET_13/OOP_RAISE_37/IP_CALL/dealcards/Qh/OOP_CHECK/IP_RAISE_58,River,"['Fold', 'Call']",140,OOP,Kc7c,Call
1245,BTN/2.5bb/BB/call,9s7s4c,6s,Ks,OOP,OOP_CHECK/IP_CHECK/dealcards/6s/OOP_CHECK/IP_BET_6/OOP_RAISE_17/IP_CALL/dealcards/Ks/OOP_CHECK,River,"['Check', 'Bet 29']",39,IP,KcTc,Bet 29
1246,CO/2.3bb/BB/call,5c2d3h,Ad,7c,OOP,OOP_CHECK/IP_CHECK/dealcards/Ad/OOP_BET_6/IP_CALL/dealcards/7c/OOP_CHECK,River,"['Check', 'Bet 13']",17,IP,QcTh,Bet 13
1247,BTN/2.5bb/BB/call,9dTs8s,5d,2s,OOP,OOP_CHECK/IP_CHECK/dealcards/5d/OOP_CHECK/IP_BET_6/OOP_RAISE_17/IP_CALL/dealcards/2s/OOP_CHECK/IP_BET_29/OOP_RAISE_80,River,"['Fold', 'Call']",148,IP,Js4s,Call
1248,CO/2.3bb/BB/call,TsKcAh,Jc,Ks,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Jc/OOP_CHECK,Turn,"['Check', 'Bet 10', 'Bet 16']",13,IP,AcKh,Check
1249,HJ/2.0bb/BB/call,5c2d3h,Ad,Td,OOP,OOP_CHECK/IP_CHECK/dealcards/Ad/OOP_CHECK/IP_CHECK/dealcards/Td/OOP_CHECK/IP_BET_3/OOP_RAISE_10,River,"['Fold', 'Call', 'Raise 26']",17,IP,Ah2h,Call
1250,BTN/2.5bb/BB/call,Jh4h5s,2d,Qc,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/2d/OOP_CHECK/IP_BET_16/OOP_CALL/dealcards/Qc/OOP_BET_23,River,"['Fold', 'Call', 'Raise 77']",64,IP,Qd9d,Call
1251,UTG/2.0bb/BB/call,JsKs5d,8h,3c,OOP,OOP_CHECK/IP_BET_3/OOP_RAISE_10/IP_CALL/dealcards/8h/OOP_CHECK,Turn,"['Check', 'Bet 18', 'Bet 30']",24,IP,JdJc,Bet 18
1252,HJ/2.0bb/BTN/call,Td6h4h,8d,Qd,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/8d/OOP_CHECK/IP_BET_16/OOP_CALL/dealcards/Qd/OOP_CHECK/IP_BET_34,River,"['Fold', 'Call', 'Raise 78']",75,OOP,Kd7d,Raise 78
1253,SB/3.0bb/BB/call,Ks7h2d,6h,Th,OOP,OOP_CHECK/IP_CHECK/dealcards/6h/OOP_CHECK/IP_BET_8/OOP_RAISE_23/IP_CALL/dealcards/Th/OOP_BET_26/IP_RAISE_74,River,"['Fold', 'Call']",152,OOP,Ah3h,Call
1254,SB/3.0bb/BB/call,Td6h4h,8d,Qd,OOP,OOP_CHECK/IP_CHECK/dealcards/8d/OOP_CHECK/IP_BET_5/OOP_RAISE_16/IP_CALL/dealcards/Qd/OOP_CHECK,River,"['Check', 'Bet 29']",38,IP,Ks9c,Bet 29
1255,SB/3.0bb/BB/call,Td6h4h,8d,Qd,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/8d/OOP_CHECK/IP_BET_20,Turn,"['Fold', 'Call', 'Raise 57', 'Raise 92']",36,OOP,KsJc,Fold
1256,HJ/2.0bb/BB/call,9dTs8s,Jh,Ac,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/Jh/OOP_CHECK/IP_BET_5/OOP_RAISE_16/IP_CALL/dealcards/Ac/OOP_CHECK/IP_BET_29,River,"['Fold', 'Call', 'Raise 81']",66,OOP,As9c,Fold
1257,SB/3.0bb/BB/call,JsKs5d,Jd,8s,OOP,OOP_BET_5/IP_CALL/dealcards/Jd/OOP_BET_20/IP_RAISE_57,Turn,"['Fold', 'Call', 'Raise 92']",93,OOP,AcTd,Fold
1258,BTN/2.5bb/BB/call,4s4h3h,Jh,Js,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/Jh/OOP_BET_11/IP_RAISE_31,Turn,"['Fold', 'Call', 'Raise 95']",51,OOP,8h8d,Call
1259,SB/3.0bb/BB/call,9s7s4c,6s,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/6s/OOP_BET_5/IP_RAISE_16/OOP_CALL/dealcards/3c/OOP_BET_19,River,"['Fold', 'Call', 'Raise 81']",57,IP,AsTs,Raise 81
1260,BTN/2.5bb/BB/call,5c2d3h,Td,Qc,OOP,OOP_CHECK/IP_CHECK/dealcards/Td/OOP_BET_4,Turn,"['Fold', 'Call', 'Raise 13']",9,IP,Tc9d,Call
1261,BTN/2.5bb/BB/13.0bb/BTN/call,7d6c4h,Qs,7c,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/Qs/OOP_BET_40/IP_RAISE_82,Turn,"['Fold', 'Call']",158,OOP,TsTc,Call
1262,SB/3.0bb/BB/call,9s7s4c,Ah,8c,OOP,OOP_BET_5/IP_RAISE_16/OOP_CALL/dealcards/Ah/OOP_CHECK,Turn,"['Check', 'Bet 29', 'Bet 48']",38,IP,Tc7c,Check
1263,UTG/2.0bb/HJ/6.5bb/UTG/call,Th3s2d,Ac,3h,IP,OOP_CHECK/IP_BET_3/OOP_RAISE_10/IP_CALL/dealcards/Ac/OOP_BET_20,Turn,"['Fold', 'Call', 'Raise 44', 'Raise 83']",54,IP,As5s,Fold
1264,BTN/2.5bb/BB/call,Th4c5d,Kd,Qh,OOP,OOP_CHECK/IP_CHECK/dealcards/Kd/OOP_CHECK/IP_CHECK/dealcards/Qh/OOP_CHECK/IP_BET_4/OOP_RAISE_13,River,"['Fold', 'Call', 'Raise 33']",22,IP,2s2d,Fold
1265,SB/3.0bb/BB/call,JcJh4s,4d,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/4d/OOP_BET_5/IP_CALL/dealcards/3c/OOP_CHECK,River,"['Check', 'Bet 12']",16,IP,Kd5d,Check
1266,SB/3.0bb/BB/call,Ks7h2d,6h,Th,OOP,OOP_CHECK,Flop,"['Check', 'Bet 2']",6,IP,Qh9c,Check
1267,UTG/2.0bb/BB/call,JsKs5d,Jd,8s,OOP,OOP_CHECK/IP_CHECK/dealcards/Jd/OOP_CHECK/IP_CHECK/dealcards/8s/OOP_CHECK/IP_BET_3/OOP_RAISE_10,River,"['Fold', 'Call', 'Raise 26']",17,IP,5s5h,Call
1268,HJ/2.0bb/BTN/7.5bb/HJ/call,Ad8d3d,9d,Ah,IP,OOP_CHECK,Flop,"['Check', 'Bet 3', 'Bet 8']",16,IP,As7s,Bet 8
1269,UTG/2.0bb/HJ/6.5bb/UTG/call,TsKcAh,Jc,Jh,IP,OOP_BET_3/IP_CALL/dealcards/Jc/OOP_CHECK,Turn,"['Check', 'Bet 12', 'Bet 22']",20,IP,AsKs,Check
1270,CO/2.3bb/BB/call,Ad8d3d,Kh,5d,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_CHECK/IP_BET_6/OOP_CALL/dealcards/5d/OOP_CHECK,River,"['Check', 'Bet 13']",17,IP,Qs5s,Bet 13
1271,BTN/2.5bb/BB/call,JcJh4s,4d,As,OOP,OOP_CHECK/IP_CHECK/dealcards/4d/OOP_CHECK/IP_BET_4/OOP_RAISE_13/IP_CALL/dealcards/As/OOP_BET_16/IP_RAISE_58,River,"['Fold', 'Call', 'Raise 84']",105,OOP,Ks9s,Fold
1272,CO/2.3bb/BB/call,JsKs5d,8h,3c,OOP,OOP_CHECK/IP_BET_4/OOP_RAISE_13/IP_CALL/dealcards/8h/OOP_BET_39,Turn,"['Fold', 'Call', 'Raise 84']",70,IP,9s9d,Fold
1273,BTN/2.5bb/BB/call,Qc8cAc,3c,Ah,OOP,OOP_CHECK/IP_BET_2/OOP_RAISE_8/IP_CALL/dealcards/3c/OOP_BET_16,Turn,"['Fold', 'Call', 'Raise 51', 'Raise 89']",37,IP,AsKh,Fold
1274,BTN/2.5bb/BB/call,9dTs8s,5d,2d,OOP,OOP_CHECK/IP_CHECK/dealcards/5d/OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/2d/OOP_CHECK,River,"['Check', 'Bet 10']",13,IP,AhAd,Bet 10
1275,UTG/2.0bb/BB/12.0bb/UTG/call,QcAdKh,Ts,Ac,OOP,OOP_CHECK/IP_CHECK/dealcards/Ts/OOP_BET_26,Turn,"['Fold', 'Call', 'Raise 52', 'Raise 88']",50,IP,JdJc,Raise 88
1276,SB/3.0bb/BB/10.0bb/SB/call,Ad9h8h,3s,2h,IP,OOP_CHECK/IP_BET_10/OOP_RAISE_23/IP_CALL/dealcards/3s/OOP_CHECK,Turn,"['Check', 'Bet 40', 'Raise 67']",66,IP,Td4d,Bet 40
1277,BTN/2.5bb/BB/call,Th3s2d,5d,3c,OOP,OOP_CHECK,Flop,"['Check', 'Bet 4']",5,IP,Ac9c,Check
1278,HJ/2.0bb/BB/call,9dTs8s,5d,2s,OOP,OOP_CHECK/IP_BET_1/OOP_RAISE_5/IP_CALL/dealcards/5d/OOP_CHECK/IP_BET_11/OOP_CALL/dealcards/2s/OOP_CHECK/IP_BET_27/OOP_RAISE_82,River,"['Fold', 'Call']",140,IP,7d7c,Fold
1279,CO/2.3bb/BB/call,9dTs8s,Jh,3c,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/Jh/OOP_CHECK/IP_BET_11/OOP_CALL/dealcards/3c/OOP_CHECK,River,"['Check', 'Bet 23']",29,IP,AdKc,Bet 23
1280,HJ/2.0bb/BB/call,JcJh4s,Ts,8c,OOP,OOP_CHECK/IP_BET_1/OOP_RAISE_5/IP_CALL/dealcards/Ts/OOP_CHECK/IP_BET_11/OOP_CALL/dealcards/8c/OOP_CHECK/IP_BET_27,River,"['Fold', 'Call', 'Raise 82']",58,OOP,Kd8d,Fold
1281,SB/3.0bb/BB/call,Ad9h8h,3s,2h,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/3s/OOP_CHECK/IP_BET_20/OOP_CALL/dealcards/2h/OOP_CHECK/IP_BET_42,River,"['Fold', 'Call', 'Raise 72']",93,OOP,KdTs,Fold
1282,SB/3.0bb/BB/call,QcAdKh,3d,Jc,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/3d/OOP_CHECK/IP_BET_12,Turn,"['Fold', 'Call', 'Raise 38']",28,OOP,AcKc,Call
